Week:,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
"September, Week 00",0,0,0,0,0
"September, Week 01",3137,2876,1874,2905,4661
"September, Week 02",4300,3681,2578,3774,5838
"September, Week 03",5521,4660,3384,4890,7256
"September, Week 04",6657,5661,4391,6345,9043
"September, Week 05",7121,6077,4768,6883,9680
"October, Week 01",8657,7516,6845,8604,11700
"October, Week 02",10018,8866,8144,10258,13638
"October, Week 03",11427,10229,9435,11858,15615
"October, Week 04",13248,11573,10701,14298,18451
"October, Week 05",14392,12444,11585,15952,
"November, Week 01",16709,15252,14547,18686,
"November, Week 02",19031,17608,17285,21751,
"November, Week 03",21098,19699,19790,24443,
"November, Week 04",22549,21275,21344,27450,
"November, Week 05",23446,22557,22825,28236,
"December, Week 01",26292,25110,25854,32348,
"December, Week 02",28012,26756,27589,34536,
"December, Week 03",29688,28421,29505,36821,
"December, Week 04",30855,29597,30661,38205,
"December, Week 05",31689,30456,31442,39299,
"January, Week 01",33094,31796,32974,41008,
"January, Week 02",34550,33124,34327,42611,
"January, Week 03",35975,34526,35868,44141,
"January, Week 04",37276,35693,36956,45668,
"January, Week 05",38418,36807,38770,47223,
"February, Week 01",41395,40132,41882,50345,
"February, Week 02",43191,41793,43831,52858,
"February, Week 03",45174,43948,46020,55362,
"February, Week 04",47662,46230,47823,58818,
"March, Week 01",50187,48908,51188,61616,
"March, Week 02",51375,50122,52440,63225,
"March, Week 03",52786,51460,53959,64814,
"March, Week 04",53451,52099,54695,65629,
"March, Week 05",54578,52939,55357,66408,
"April, Week 01",55697,53773,56343,67524,
"April, Week 02",56204,54243,56790,68015,
"April, Week 03",56696,54739,57355,68602,
"April, Week 04",57170,55165,57820,69075,
"April, Week 05",57495,55521,58283,69917,
"May, Week 01",58017,56509,59441,70986,
"May, Week 02",58436,57023,60007,71641,
"May, Week 03",59000,57537,60527,72194,
"May, Week 04",59388,57882,60886,72562,
"May, Week 05",59650,58197,61232,72948,
"June, Week 01",60094,58719,61702,73454,
"June, Week 02",60384,59071,62062,73819,
"June, Week 03",60678,59412,62413,74240,
"June, Week 04",60963,59770,62912,74726,
"June, Week 05",61331,60014,63171,75002,
"July, Week 01",61641,60418,63545,75355,
"July, Week 02",61883,60658,63875,75731,
"July, Week 03",62129,60996,64187,76007,
"July, Week 04",62275,61123,64357,76112,
"July, Week 05",62361,61213,64520,76256,
"August, Week 01",62453,61288,64676,76354,
"August, Week 02",62493,61373,64703,76388,
"August, Week 03",62529,61398,64727,76456,
"August, Week 04",62539,61409,64736,76469,